10/19/2015 12:42:25 - 1002	L	705,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:25 - 1002	L	1501,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:32 - 1063	M	705,-1,new_1-3
10/19/2015 12:42:32 - 1063	M	949,-1,new_1-3
10/19/2015 12:42:32 - 1063	M	2262,-1,new_1-3
10/19/2015 12:42:32 - 1063	M	512,-1,new_1-3
10/19/2015 12:42:32 - 1063	M	507,-1,new_1-3
10/19/2015 12:42:32 - 1063	M	515,-1,new_1-3
10/19/2015 12:42:32 - 1063	M	622,-1,new_1-3
10/19/2015 12:42:33 - 1002	L	2262,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:33 - 1002	L	515,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:34 - 1002	L	949,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:34 - 1002	L	705,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:35 - 1002	L	512,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:35 - 1002	L	507,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:35 - 1002	L	622,1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	M	909,-1,new_1-3
10/19/2015 12:42:55 - 1002	M	1202,-1,new_1-3
10/19/2015 12:42:55 - 1002	M	938,-1,new_1-3
10/19/2015 12:42:55 - 1002	M	512,-1,new_1-3
10/19/2015 12:42:55 - 1002	M	713,-1,new_1-3
10/19/2015 12:42:55 - 1002	M	512,-1,new_1-3
10/19/2015 12:42:55 - 1002	M	619,-1,new_1-3
10/19/2015 12:42:55 - 1002	L	949,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	705,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	1501,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	2262,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	515,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	949,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	705,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	512,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	507,-1,0,0,0,0,0,new_1-3
10/19/2015 12:42:55 - 1002	L	622,-1,0,0,0,0,0,new_1-3
10/19/2015 12:43:01 - 1011	M	998,-1,new_1-3
10/19/2015 12:43:01 - 1011	M	935,-1,new_1-3
